occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Sabella spallanzanii","Sabella spallanzanii (Gmelin, 1791)","2328603","EXACT","97","ACCEPTED","SPECIES","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella spallanzanii","Sabella spallanzanii","(Gmelin, 1791) ","2328603",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Aphis fabae","Aphis fabae Scopoli, 1763","2072167","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","Aphis","Aphis fabae","Aphis fabae","Scopoli, 1763","2072167",
,"Phyllotreta undulata","Phyllotreta undulata Kutschera, 1860","1049228","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Phyllotreta","Phyllotreta undulata","Phyllotreta undulata","Kutschera, 1860","1049228",
,"Araujia sericifera","Araujia sericifera Brot.","3170442","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Araujia","Araujia sericifera","Araujia sericifera","Brot.","3170442",
,"Camponotus innexus","Camponotus innexus Forel, 1902","5034489","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus innexus","Camponotus innexus","Forel, 1902","5034489",
,"Cyprinus carpio","Cyprinus carpio Linnaeus, 1758","4286975","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio","Cyprinus carpio","Linnaeus, 1758","4286975",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Technomyrmex antonii","Technomyrmex bicolor antonii Forel, 1902","6244548","EDITED",,"ACCEPTED","SUBSPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex","Technomyrmex bicolor","Technomyrmex bicolor antonii","Forel, 1902",,
,"Technomyrmex sophiae","Technomyrmex sophiae Forel, 1902","1320080","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex","Technomyrmex sophiae","Technomyrmex sophiae","Forel, 1902","1320080",
,"Technomyrmex sophiae","Technomyrmex sophiae Forel, 1902","1320080","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex","Technomyrmex sophiae","Technomyrmex sophiae","Forel, 1902","1320080",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Nylanderia","Nylanderia Emery, 1906","4673740","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Nylanderia",,"Nylanderia","Emery, 1906","4673740",
,"Genista monspessulana","Genista monspessulana (L.) L.A.S.Johnson","5347796","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Genista","Genista monspessulana","Genista monspessulana","(L.) L.A.S.Johnson","5347796",
,"Caulerpa taxifolia","Caulerpa taxifolia (M.Vahl) C.Agardh","2643172","EXACT","99","ACCEPTED","SPECIES","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa taxifolia","Caulerpa taxifolia","(M.Vahl) C.Agardh","2643172",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Caulerpa taxifolia","Caulerpa taxifolia (M.Vahl) C.Agardh","2643172","EXACT","99","ACCEPTED","SPECIES","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa taxifolia","Caulerpa taxifolia","(M.Vahl) C.Agardh","2643172",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Asterias amurensis","Asterias amurensis Lutken, 1871","5187508","EXACT","99","ACCEPTED","SPECIES","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias amurensis","Asterias amurensis","Lutken, 1871","5187508",
,"Camponotus aeneopilosus","Camponotus aeneopilosus Mayr, 1862","5033875","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus aeneopilosus","Camponotus aeneopilosus","Mayr, 1862","5033875",
,"Caulerpa taxifolia","Caulerpa taxifolia (M.Vahl) C.Agardh","2643172","EXACT","99","ACCEPTED","SPECIES","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa taxifolia","Caulerpa taxifolia","(M.Vahl) C.Agardh","2643172",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Camponotus suffusus bendigensis","Camponotus suffusus bendigensis","7973005","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus suffusus","Camponotus suffusus bendigensis",,"7973005",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Sabella spallanzanii","Sabella spallanzanii (Gmelin, 1791)","2328603","EXACT","97","ACCEPTED","SPECIES","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella spallanzanii","Sabella spallanzanii","(Gmelin, 1791) ","2328603",
,"Clavelina","Clavelina Savigny, 1816","2330146","EXACT","94","ACCEPTED","GENUS","Animalia","Chordata","Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina",,"Clavelina","Savigny, 1816","2330146",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Pseudococcus longispinus","Pseudococcus longispinus (Targioni Tozzetti, 1867)","2095283","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Pseudococcus","Pseudococcus longispinus","Pseudococcus longispinus","(Targioni Tozzetti, 1867) ","2095283",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus gasseri","Camponotus gasseri (Forel, 1894)","5034264","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus gasseri","Camponotus gasseri","(Forel, 1894) ","5034264",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Corvus splendens","Corvus splendens Vieillot, 1817","2482499","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus splendens","Corvus splendens","Vieillot, 1817","2482499",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Technomyrmex sophiae","Technomyrmex sophiae Forel, 1902","1320080","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex","Technomyrmex sophiae","Technomyrmex sophiae","Forel, 1902","1320080",
,"Cyprinus carpio","Cyprinus carpio Linnaeus, 1758","4286975","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio","Cyprinus carpio","Linnaeus, 1758","4286975",
,"Cornu apertus","Cornu apertus (Born, 1778)","9716911","EXACT","98","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Cantareus","Cantareus apertus","Cornu apertus","(Born, 1778) ","9716911","4564228"
,"Asterias amurensis","Asterias amurensis Lutken, 1871","5187508","EXACT","99","ACCEPTED","SPECIES","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias amurensis","Asterias amurensis","Lutken, 1871","5187508",
,"Asterias amurensis","Asterias amurensis Lutken, 1871","5187508","EXACT","99","ACCEPTED","SPECIES","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias amurensis","Asterias amurensis","Lutken, 1871","5187508",
,"Sabella spallanzanii","Sabella spallanzanii (Gmelin, 1791)","2328603","EXACT","97","ACCEPTED","SPECIES","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella spallanzanii","Sabella spallanzanii","(Gmelin, 1791) ","2328603",
,"Sabella spallanzanii","Sabella spallanzanii (Gmelin, 1791)","2328603","EXACT","97","ACCEPTED","SPECIES","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella spallanzanii","Sabella spallanzanii","(Gmelin, 1791) ","2328603",
,"Sabella spallanzanii","Sabella spallanzanii (Gmelin, 1791)","2328603","EXACT","97","ACCEPTED","SPECIES","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella spallanzanii","Sabella spallanzanii","(Gmelin, 1791) ","2328603",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Sabella spallanzanii","Sabella spallanzanii (Gmelin, 1791)","2328603","EXACT","97","ACCEPTED","SPECIES","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella spallanzanii","Sabella spallanzanii","(Gmelin, 1791) ","2328603",
,"Sabella spallanzanii","Sabella spallanzanii (Gmelin, 1791)","2328603","EXACT","97","ACCEPTED","SPECIES","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella spallanzanii","Sabella spallanzanii","(Gmelin, 1791) ","2328603",
,"Camponotus innexus","Camponotus innexus Forel, 1902","5034489","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus innexus","Camponotus innexus","Forel, 1902","5034489",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Opuntia","Opuntia Mill.","3084187","EXACT","94","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia",,"Opuntia","Mill.","3084187",
,"Opuntia monacantha","Opuntia monacantha Haw.","5384142","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia monacantha","Opuntia monacantha","Haw.","5384142",
,"Opuntia ficus-indica","Opuntia ficus-indica (L.) Mill.","5384064","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia ficus-indica","Opuntia ficus-indica","(L.) Mill.","5384064",
,"Cornu apertus","Cornu apertus (Born, 1778)","9716911","EXACT","98","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Cantareus","Cantareus apertus","Cornu apertus","(Born, 1778) ","9716911","4564228"
,"Opuntia ficus-indica","Opuntia ficus-indica (L.) Mill.","5384064","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia ficus-indica","Opuntia ficus-indica","(L.) Mill.","5384064",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Cyprinus carpio","Cyprinus carpio Linnaeus, 1758","4286975","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio","Cyprinus carpio","Linnaeus, 1758","4286975",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Camponotus aeneopilosus","Camponotus aeneopilosus Mayr, 1862","5033875","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus aeneopilosus","Camponotus aeneopilosus","Mayr, 1862","5033875",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Asterias amurensis","Asterias amurensis Lutken, 1871","5187508","EXACT","99","ACCEPTED","SPECIES","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias amurensis","Asterias amurensis","Lutken, 1871","5187508",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Vachellia","Vachellia Wight & Arn.","8142432","EXACT","94","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vachellia",,"Vachellia","Wight & Arn.","8142432",
,"Styela plicata","Styela plicata (Lesueur, 1823)","2331954","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela","Styela plicata","Styela plicata","(Lesueur, 1823) ","2331954",
,"Creatonotos gangis","Creatonotos gangis (Linnaeus, 1763)","1814913","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Creatonotos","Creatonotos gangis","Creatonotos gangis","(Linnaeus, 1763) ","1814913",
,"Creatonotos gangis","Creatonotos gangis (Linnaeus, 1763)","1814913","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Creatonotos","Creatonotos gangis","Creatonotos gangis","(Linnaeus, 1763) ","1814913",
,"Undaria pinnatifida","Undaria pinnatifida (Harv.) Suringar","5422556","EXACT","99","ACCEPTED","SPECIES","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","Undaria pinnatifida","Undaria pinnatifida","(Harv.) Suringar","5422556",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Cornu apertus","Cornu apertus (Born, 1778)","9716911","EXACT","98","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Cantareus","Cantareus apertus","Cornu apertus","(Born, 1778) ","9716911","4564228"
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Corbicula (Corbiculina) maroubra","Corbicula maroubra (Iredale, 1943)","5794013","EXACT","99","ACCEPTED","SPECIES","Animalia","Mollusca","Bivalvia","Venerida","Cyrenidae","Corbicula","Corbicula maroubra","Corbicula maroubra","(Iredale, 1943) ","5794013",
,"Sabella spallanzanii","Sabella spallanzanii (Gmelin, 1791)","2328603","EXACT","97","ACCEPTED","SPECIES","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella spallanzanii","Sabella spallanzanii","(Gmelin, 1791) ","2328603",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
